TF_ID	Gene_ID	Family
PH01001400G0040	PH01001400G0040	bHLH
PH01001418G0330	PH01001418G0330	TCP
PH01001428G0090	PH01001428G0090	NAC
PH01001438G0360	PH01001438G0360	NAC
PH01001446G0150	PH01001446G0150	bHLH
PH01001447G0230	PH01001447G0230	Trihelix
PH01001451G0080	PH01001451G0080	Trihelix
PH01001451G0450	PH01001451G0450	GATA
PH01001453G0250	PH01001453G0250	NF-YA
PH01001458G0040	PH01001458G0040	WRKY
PH01001461G0130	PH01001461G0130	bHLH
PH01001463G0020	PH01001463G0020	bHLH
PH01001480G0090	PH01001480G0090	bHLH
PH01001480G0160	PH01001480G0160	bZIP
PH01001480G0290	PH01001480G0290	TCP
PH01001498G0180	PH01001498G0180	GRAS
PH01001500G0110	PH01001500G0110	WRKY
PH01001515G0160	PH01001515G0160	WRKY
PH01001517G0230	PH01001517G0230	bZIP
PH01001520G0040	PH01001520G0040	TCP
PH01001525G0260	PH01001525G0260	bHLH
PH01001527G0270	PH01001527G0270	bZIP
PH01001536G0040	PH01001536G0040	NF-YC
PH01001538G0490	PH01001538G0490	bHLH
PH01001539G0060	PH01001539G0060	bZIP
PH01001551G0070	PH01001551G0070	Nin-like
PH01001552G0210	PH01001552G0210	CAMTA
PH01001554G0080	PH01001554G0080	HSF
PH01001554G0110	PH01001554G0110	bHLH
PH01001554G0250	PH01001554G0250	bZIP
PH01001554G0310	PH01001554G0310	HSF
PH01001557G0370	PH01001557G0370	GATA
PH01001562G0090	PH01001562G0090	bHLH
PH01001571G0100	PH01001571G0100	bHLH
PH01001576G0310	PH01001576G0310	bHLH
PH01001577G0130	PH01001577G0130	GRAS
PH01001578G0450	PH01001578G0450	bHLH
PH01001584G0350	PH01001584G0350	GATA
PH01001597G0410	PH01001597G0410	NF-YA
PH01001599G0160	PH01001599G0160	bHLH
PH01001601G0220	PH01001601G0220	WRKY
PH01001618G0390	PH01001618G0390	NAC
PH01001619G0180	PH01001619G0180	NAC
PH01001626G0320	PH01001626G0320	WRKY
PH01001631G0530	PH01001631G0530	NF-YB
PH01001641G0420	PH01001641G0420	bHLH
PH01001650G0280	PH01001650G0280	NF-YA
PH01001651G0380	PH01001651G0380	Nin-like
PH01001652G0230	PH01001652G0230	NAC
PH01001655G0060	PH01001655G0060	NF-YB
PH01001658G0140	PH01001658G0140	LBD
PH01001664G0230	PH01001664G0230	NAC
PH01001664G0400	PH01001664G0400	GRAS
PH01001669G0130	PH01001669G0130	NAC
PH01001671G0060	PH01001671G0060	bHLH
PH01001671G0400	PH01001671G0400	WRKY
PH01001678G0300	PH01001678G0300	bHLH
PH01001683G0170	PH01001683G0170	NAC
PH01001685G0440	PH01001685G0440	SBP
PH01001688G0260	PH01001688G0260	E2F/DP
PH01001692G0030	PH01001692G0030	GRAS
PH01001697G0180	PH01001697G0180	WRKY
PH01001698G0040	PH01001698G0040	WRKY
PH01001724G0410	PH01001724G0410	NF-YC
PH01001737G0080	PH01001737G0080	WRKY
PH01001738G0010	PH01001738G0010	YABBY
PH01001739G0180	PH01001739G0180	GRAS
PH01001750G0080	PH01001750G0080	bZIP
PH01001751G0380	PH01001751G0380	SBP
PH01001753G0040	PH01001753G0040	NAC
PH01001759G0450	PH01001759G0450	bHLH
PH01001761G0380	PH01001761G0380	GRAS
PH01001770G0220	PH01001770G0220	NAC
PH01001777G0070	PH01001777G0070	WRKY
PH01001778G0330	PH01001778G0330	Trihelix
PH01001784G0250	PH01001784G0250	LBD
PH01001789G0250	PH01001789G0250	NF-YA
PH01001797G0410	PH01001797G0410	NAC
PH01001802G0210	PH01001802G0210	bZIP
PH01001834G0370	PH01001834G0370	SBP
PH01001843G0210	PH01001843G0210	NAC
PH01001853G0340	PH01001853G0340	SBP
PH01001857G0270	PH01001857G0270	bHLH
PH01001858G0120	PH01001858G0120	HSF
PH01001870G0100	PH01001870G0100	Nin-like
PH01001870G0190	PH01001870G0190	bZIP
PH01001871G0100	PH01001871G0100	bZIP
PH01001876G0340	PH01001876G0340	bHLH
PH01001883G0330	PH01001883G0330	WRKY
PH01001896G0060	PH01001896G0060	NAC
PH01001907G0160	PH01001907G0160	GATA
PH01001910G0100	PH01001910G0100	SBP
PH01001918G0120	PH01001918G0120	E2F/DP
PH01001930G0220	PH01001930G0220	bZIP
PH01001939G0040	PH01001939G0040	NF-YA
PH01001953G0120	PH01001953G0120	VOZ
PH01001953G0270	PH01001953G0270	WRKY
PH01001978G0130	PH01001978G0130	WRKY
PH01001983G0170	PH01001983G0170	Dof
PH01001986G0070	PH01001986G0070	bZIP
PH01001986G0360	PH01001986G0360	bHLH
PH01001998G0220	PH01001998G0220	bZIP
PH01001999G0060	PH01001999G0060	bHLH
PH01002011G0380	PH01002011G0380	WRKY
PH01002018G0330	PH01002018G0330	WRKY
PH01002021G0090	PH01002021G0090	bHLH
PH01002022G0200	PH01002022G0200	WRKY
PH01002025G0150	PH01002025G0150	ZF-HD
PH01002026G0020	PH01002026G0020	NAC
PH01002035G0390	PH01002035G0390	WRKY
PH01002041G0310	PH01002041G0310	bZIP
PH01002051G0290	PH01002051G0290	GeBP
PH01002101G0240	PH01002101G0240	NF-YA
PH01002105G0190	PH01002105G0190	GATA
PH01002131G0260	PH01002131G0260	NAC
PH01002142G0040	PH01002142G0040	NF-YC
PH01002142G0270	PH01002142G0270	WRKY
PH01002143G0030	PH01002143G0030	CAMTA
PH01002160G0050	PH01002160G0050	Trihelix
PH01002160G0240	PH01002160G0240	bHLH
PH01002164G0250	PH01002164G0250	NAC
PH01002178G0270	PH01002178G0270	bZIP
PH01002188G0200	PH01002188G0200	LBD
PH01002204G0210	PH01002204G0210	NF-YC
PH01002205G0140	PH01002205G0140	GRAS
PH01002207G0260	PH01002207G0260	bZIP
PH01002220G0280	PH01002220G0280	WRKY
PH01002238G0110	PH01002238G0110	WRKY
PH01002245G0380	PH01002245G0380	NAC
PH01002246G0050	PH01002246G0050	LBD
PH01002247G0090	PH01002247G0090	ZF-HD
PH01002260G0190	PH01002260G0190	bHLH
PH01002276G0270	PH01002276G0270	NAC
PH01002320G0310	PH01002320G0310	LBD
PH01002322G0240	PH01002322G0240	GRAS
PH01002325G0040	PH01002325G0040	GRAS
PH01002346G0340	PH01002346G0340	bHLH
PH01002350G0210	PH01002350G0210	BES1
PH01002378G0050	PH01002378G0050	WRKY
PH01002384G0100	PH01002384G0100	Dof
PH01002396G0160	PH01002396G0160	WRKY
PH01002396G0190	PH01002396G0190	WRKY
PH01002417G0180	PH01002417G0180	GRAS
PH01002420G0050	PH01002420G0050	bHLH
PH01002437G0340	PH01002437G0340	HSF
PH01002448G0160	PH01002448G0160	E2F/DP
PH01002473G0050	PH01002473G0050	GATA
PH01002508G0050	PH01002508G0050	bHLH
PH01002512G0020	PH01002512G0020	bZIP
PH01002513G0060	PH01002513G0060	bZIP
PH01002537G0070	PH01002537G0070	WRKY
PH01002537G0110	PH01002537G0110	Whirly
PH01002549G0090	PH01002549G0090	GRAS
PH01002550G0330	PH01002550G0330	bHLH
PH01002558G0060	PH01002558G0060	WRKY
PH01002560G0270	PH01002560G0270	GRAS
PH01002584G0160	PH01002584G0160	bHLH
PH01002597G0220	PH01002597G0220	BBR-BPC
PH01002603G0250	PH01002603G0250	bZIP
PH01002606G0040	PH01002606G0040	HSF
PH01002611G0200	PH01002611G0200	NAC
PH01002623G0240	PH01002623G0240	bHLH
PH01002627G0250	PH01002627G0250	bHLH
PH01002631G0130	PH01002631G0130	NAC
PH01002636G0200	PH01002636G0200	bHLH
PH01002648G0060	PH01002648G0060	Trihelix
PH01002656G0020	PH01002656G0020	NAC
PH01002657G0020	PH01002657G0020	bHLH
PH01002673G0070	PH01002673G0070	SBP
PH01002677G0180	PH01002677G0180	bHLH
PH01002681G0110	PH01002681G0110	GATA
PH01002711G0120	PH01002711G0120	WRKY
PH01002725G0230	PH01002725G0230	bHLH
PH01002726G0060	PH01002726G0060	CAMTA
PH01002744G0230	PH01002744G0230	WRKY
PH01002763G0330	PH01002763G0330	Nin-like
PH01002771G0280	PH01002771G0280	bZIP
PH01002776G0100	PH01002776G0100	WRKY
PH01002777G0100	PH01002777G0100	NAC
PH01002779G0140	PH01002779G0140	bHLH
PH01002789G0180	PH01002789G0180	SBP
PH01002800G0110	PH01002800G0110	WRKY
PH01002804G0220	PH01002804G0220	bHLH
PH01002828G0080	PH01002828G0080	GRAS
PH01002830G0260	PH01002830G0260	GATA
PH01002896G0090	PH01002896G0090	E2F/DP
PH01002918G0050	PH01002918G0050	bHLH
PH01002919G0020	PH01002919G0020	bHLH
PH01002972G0210	PH01002972G0210	bHLH
PH01002972G0240	PH01002972G0240	bHLH
PH01002998G0240	PH01002998G0240	NAC
PH01003034G0090	PH01003034G0090	bZIP
PH01003044G0090	PH01003044G0090	SBP
PH01003045G0040	PH01003045G0040	NF-YA
PH01003057G0080	PH01003057G0080	WRKY
PH01003058G0110	PH01003058G0110	BES1
PH01003084G0080	PH01003084G0080	NAC
PH01003108G0020	PH01003108G0020	WRKY
PH01003110G0050	PH01003110G0050	WRKY
PH01003119G0170	PH01003119G0170	bHLH
PH01003138G0210	PH01003138G0210	NAC
PH01003139G0080	PH01003139G0080	GeBP
PH01003146G0070	PH01003146G0070	GRAS
PH01003146G0100	PH01003146G0100	GRAS
PH01003147G0100	PH01003147G0100	Dof
PH01003169G0070	PH01003169G0070	HSF
PH01003170G0110	PH01003170G0110	WRKY
PH01003178G0220	PH01003178G0220	SBP
PH01003190G0100	PH01003190G0100	NAC
PH01003202G0120	PH01003202G0120	YABBY
PH01003206G0160	PH01003206G0160	bHLH
PH01003243G0210	PH01003243G0210	LBD
PH01003268G0110	PH01003268G0110	NAC
PH01003334G0180	PH01003334G0180	bHLH
PH01003361G0120	PH01003361G0120	bZIP
PH01003365G0100	PH01003365G0100	GATA
PH01003422G0070	PH01003422G0070	bHLH
PH01003426G0040	PH01003426G0040	bZIP
PH01003433G0110	PH01003433G0110	GATA
PH01003449G0170	PH01003449G0170	bHLH
PH01003462G0030	PH01003462G0030	bHLH
PH01003477G0030	PH01003477G0030	Dof
PH01003485G0070	PH01003485G0070	WRKY
PH01003510G0200	PH01003510G0200	Trihelix
PH01003558G0150	PH01003558G0150	WRKY
PH01003579G0140	PH01003579G0140	WRKY
PH01003617G0070	PH01003617G0070	SRS
PH01003620G0120	PH01003620G0120	BBR-BPC
PH01003628G0010	PH01003628G0010	Dof
PH01003683G0160	PH01003683G0160	bZIP
PH01003717G0190	PH01003717G0190	bHLH
PH01003751G0100	PH01003751G0100	bHLH
PH01003751G0200	PH01003751G0200	bZIP
PH01003768G0010	PH01003768G0010	bHLH
PH01003770G0040	PH01003770G0040	bZIP
PH01003773G0220	PH01003773G0220	SBP
PH01003790G0150	PH01003790G0150	bHLH
PH01003793G0200	PH01003793G0200	NF-YB
PH01003862G0080	PH01003862G0080	bHLH
PH01003883G0030	PH01003883G0030	bHLH
PH01003898G0190	PH01003898G0190	NAC
PH01003908G0140	PH01003908G0140	WRKY
PH01003916G0010	PH01003916G0010	HSF
PH01003917G0070	PH01003917G0070	NAC
PH01003922G0080	PH01003922G0080	WRKY
PH01003957G0030	PH01003957G0030	E2F/DP
PH01004006G0090	PH01004006G0090	NAC
PH01004020G0070	PH01004020G0070	ZF-HD
PH01004023G0120	PH01004023G0120	ZF-HD
PH01004029G0080	PH01004029G0080	Nin-like
PH01004053G0150	PH01004053G0150	GRAS
PH01004053G0220	PH01004053G0220	GRAS
PH01004066G0100	PH01004066G0100	bHLH
PH01004067G0040	PH01004067G0040	WRKY
PH01004096G0180	PH01004096G0180	SBP
PH01004129G0090	PH01004129G0090	NAC
PH01004181G0160	PH01004181G0160	NAC
PH01004186G0090	PH01004186G0090	CPP
PH01004198G0020	PH01004198G0020	NF-YC
PH01004222G0040	PH01004222G0040	bZIP
PH01004235G0060	PH01004235G0060	CAMTA
PH01004273G0140	PH01004273G0140	NAC
PH01004291G0080	PH01004291G0080	NAC
PH01004323G0080	PH01004323G0080	bHLH
PH01004326G0140	PH01004326G0140	SRS
PH01004348G0070	PH01004348G0070	EIL
PH01004390G0110	PH01004390G0110	NAC
PH01004399G0090	PH01004399G0090	bZIP
PH01004440G0090	PH01004440G0090	bHLH
PH01004450G0140	PH01004450G0140	WRKY
PH01004496G0070	PH01004496G0070	bZIP
PH01004500G0050	PH01004500G0050	NF-YB
PH01004504G0130	PH01004504G0130	ZF-HD
PH01004514G0080	PH01004514G0080	WRKY
PH01004605G0030	PH01004605G0030	NAC
PH01004687G0080	PH01004687G0080	bZIP
PH01004715G0040	PH01004715G0040	bHLH
PH01004720G0080	PH01004720G0080	bZIP
PH01004728G0030	PH01004728G0030	bHLH
PH01004789G0060	PH01004789G0060	GATA
PH01004816G0090	PH01004816G0090	SBP
PH01004816G0120	PH01004816G0120	Trihelix
PH01004823G0070	PH01004823G0070	GRAS
PH01004826G0040	PH01004826G0040	E2F/DP
PH01004866G0030	PH01004866G0030	GRAS
PH01004870G0100	PH01004870G0100	bHLH
PH01004940G0100	PH01004940G0100	WRKY
PH01004959G0010	PH01004959G0010	bHLH
PH01004959G0060	PH01004959G0060	HSF
PH01005012G0090	PH01005012G0090	bHLH
PH01005069G0010	PH01005069G0010	bHLH
PH01005137G0020	PH01005137G0020	WRKY
PH01005158G0070	PH01005158G0070	bHLH
PH01005189G0020	PH01005189G0020	bHLH
PH01005217G0040	PH01005217G0040	GRAS
PH01005298G0040	PH01005298G0040	NF-YC
PH01005423G0060	PH01005423G0060	bHLH
PH01005435G0020	PH01005435G0020	bZIP
PH01005526G0030	PH01005526G0030	GRAS
PH01005548G0080	PH01005548G0080	bHLH
PH01005573G0030	PH01005573G0030	GeBP
PH01005711G0070	PH01005711G0070	Whirly
PH01005720G0030	PH01005720G0030	bZIP
PH01005780G0020	PH01005780G0020	GeBP
PH01005961G0010	PH01005961G0010	WRKY
PH01005978G0070	PH01005978G0070	GRAS
PH01006080G0010	PH01006080G0010	bZIP
PH01006089G0040	PH01006089G0040	NF-YC
PH01006106G0050	PH01006106G0050	bZIP
PH01006140G0010	PH01006140G0010	NAC
PH01006153G0020	PH01006153G0020	bHLH
PH01006362G0030	PH01006362G0030	bHLH
PH01006423G0020	PH01006423G0020	LBD
PH01006426G0020	PH01006426G0020	BES1
PH01007575G0040	PH01007575G0040	Dof
PH01007654G0010	PH01007654G0010	SBP
PH01007980G0020	PH01007980G0020	bHLH
PH01008051G0020	PH01008051G0020	BES1
PH01008287G0010	PH01008287G0010	Trihelix
PH01021666G0010	PH01021666G0010	WRKY
PH01029174G0010	PH01029174G0010	WRKY
PH01047850G0010	PH01047850G0010	Trihelix
PH01103680G0010	PH01103680G0010	bHLH
PH01107020G0010	PH01107020G0010	Trihelix
PH01143550G0010	PH01143550G0010	GRAS
PH01153193G0010	PH01153193G0010	Trihelix
PH01155840G0010	PH01155840G0010	Dof
PH01190367G0010	PH01190367G0010	GRAS
PH01194034G0010	PH01194034G0010	GRAS
PH01269246G0010	PH01269246G0010	bHLH
PH01276401G0010	PH01276401G0010	bZIP
PH01278028G0010	PH01278028G0010	WRKY
PH01000002G3110	PH01000002G3110	ARF
PH01000011G0660	PH01000011G0660	ARF
PH01000018G0940	PH01000018G0940	ARF
PH01000044G0540	PH01000044G0540	ARF
PH01000046G0220	PH01000046G0220	ARF
PH01000057G1420	PH01000057G1420	ARF
PH01000093G0670	PH01000093G0670	ARF
PH01000114G0050	PH01000114G0050	ARF
PH01000116G0910	PH01000116G0910	ARF
PH01000176G0540	PH01000176G0540	ARF
PH01000183G0570	PH01000183G0570	ARF
PH01000222G0180	PH01000222G0180	ARF
PH01000227G0020	PH01000227G0020	ARF
PH01000237G0420	PH01000237G0420	ARF
PH01000277G0820	PH01000277G0820	ARF
PH01000305G0690	PH01000305G0690	ARF
PH01000483G0220	PH01000483G0220	ARF
PH01000548G0300	PH01000548G0300	ARF
PH01000623G0440	PH01000623G0440	ARF
PH01000626G0040	PH01000626G0040	ARF
PH01000667G0020	PH01000667G0020	ARF
PH01000845G0410	PH01000845G0410	ARF
PH01001026G0300	PH01001026G0300	ARF
PH01001285G0430	PH01001285G0430	ARF
PH01001555G0390	PH01001555G0390	ARF
PH01001690G0310	PH01001690G0310	ARF
PH01002160G0180	PH01002160G0180	ARF
PH01002498G0280	PH01002498G0280	ARF
PH01002685G0120	PH01002685G0120	ARF
PH01002806G0200	PH01002806G0200	ARF
PH01002850G0020	PH01002850G0020	ARF
PH01002857G0060	PH01002857G0060	ARF
PH01003096G0200	PH01003096G0200	ARF
PH01005322G0010	PH01005322G0010	ARF
PH01007612G0010	PH01007612G0010	ARF
PH01000000G1160	PH01000000G1160	B3
PH01000017G0270	PH01000017G0270	B3
PH01000025G0410	PH01000025G0410	B3
PH01000025G0470	PH01000025G0470	B3
PH01000038G1330	PH01000038G1330	B3
PH01000059G1450	PH01000059G1450	B3
PH01000076G0800	PH01000076G0800	B3
PH01000115G0880	PH01000115G0880	B3
PH01000132G1210	PH01000132G1210	B3
PH01000198G0380	PH01000198G0380	B3
PH01000246G0410	PH01000246G0410	B3
PH01000261G0320	PH01000261G0320	B3
PH01000469G0440	PH01000469G0440	B3
PH01000479G0550	PH01000479G0550	B3
PH01000528G0920	PH01000528G0920	B3
PH01000531G0070	PH01000531G0070	B3
PH01000819G0520	PH01000819G0520	B3
PH01001094G0220	PH01001094G0220	B3
PH01001390G0400	PH01001390G0400	B3
PH01002064G0190	PH01002064G0190	B3
PH01002311G0210	PH01002311G0210	B3
PH01002321G0340	PH01002321G0340	B3
PH01003974G0030	PH01003974G0030	B3
PH01004526G0170	PH01004526G0170	B3
PH01004739G0010	PH01004739G0010	B3
PH01005516G0020	PH01005516G0020	B3
PH01006252G0020	PH01006252G0020	B3
PH01013505G0010	PH01013505G0010	B3
PH01160280G0010	PH01160280G0010	B3
PH01000007G1520	PH01000007G1520	AP2
PH01000379G0890	PH01000379G0890	AP2
PH01000597G0530	PH01000597G0530	AP2
PH01000948G0320	PH01000948G0320	AP2
PH01001206G0160	PH01001206G0160	AP2
PH01001338G0140	PH01001338G0140	AP2
PH01001341G0150	PH01001341G0150	AP2
PH01001432G0330	PH01001432G0330	AP2
PH01002011G0250	PH01002011G0250	AP2
PH01002097G0110	PH01002097G0110	AP2
PH01002603G0280	PH01002603G0280	AP2
PH01002652G0230	PH01002652G0230	AP2
PH01001762G0240	PH01001762G0240	AP2
PH01000135G0570	PH01000135G0570	AP2
PH01005239G0070	PH01005239G0070	AP2
PH01000604G0580	PH01000604G0580	AP2
PH01001057G0460	PH01001057G0460	AP2
PH01000193G0900	PH01000193G0900	AP2
PH01003011G0190	PH01003011G0190	AP2
PH01000004G0570	PH01000004G0570	ERF
PH01000014G0360	PH01000014G0360	ERF
PH01000016G1360	PH01000016G1360	ERF
PH01000017G0950	PH01000017G0950	ERF
PH01000018G0790	PH01000018G0790	ERF
PH01000022G0050	PH01000022G0050	ERF
PH01000023G1030	PH01000023G1030	ERF
PH01000027G2350	PH01000027G2350	ERF
PH01000032G1740	PH01000032G1740	ERF
PH01000034G0340	PH01000034G0340	ERF
PH01000038G0840	PH01000038G0840	ERF
PH01000038G0910	PH01000038G0910	ERF
PH01000046G1730	PH01000046G1730	ERF
PH01000049G1650	PH01000049G1650	ERF
PH01000069G0560	PH01000069G0560	ERF
PH01000080G1510	PH01000080G1510	ERF
PH01000084G1170	PH01000084G1170	ERF
PH01000085G0010	PH01000085G0010	ERF
PH01000088G0910	PH01000088G0910	ERF
PH01000093G1890	PH01000093G1890	ERF
PH01000098G1180	PH01000098G1180	ERF
PH01000115G0420	PH01000115G0420	ERF
PH01000115G0470	PH01000115G0470	ERF
PH01000115G0490	PH01000115G0490	ERF
PH01000124G0270	PH01000124G0270	ERF
PH01000129G0360	PH01000129G0360	ERF
PH01000131G1230	PH01000131G1230	ERF
PH01000131G1240	PH01000131G1240	ERF
PH01000131G1260	PH01000131G1260	ERF
PH01000149G0850	PH01000149G0850	ERF
PH01000171G0880	PH01000171G0880	ERF
PH01000173G0700	PH01000173G0700	ERF
PH01000182G0630	PH01000182G0630	ERF
PH01000188G0980	PH01000188G0980	ERF
PH01000201G0970	PH01000201G0970	ERF
PH01000210G0740	PH01000210G0740	ERF
PH01000210G1070	PH01000210G1070	ERF
PH01000242G1390	PH01000242G1390	ERF
PH01000304G0340	PH01000304G0340	ERF
PH01000320G0460	PH01000320G0460	ERF
PH01000343G0330	PH01000343G0330	ERF
PH01000343G0780	PH01000343G0780	ERF
PH01000343G0830	PH01000343G0830	ERF
PH01000355G0090	PH01000355G0090	ERF
PH01000364G1150	PH01000364G1150	ERF
PH01000437G0390	PH01000437G0390	ERF
PH01000443G0450	PH01000443G0450	ERF
PH01000493G0150	PH01000493G0150	ERF
PH01000543G0370	PH01000543G0370	ERF
PH01000559G0630	PH01000559G0630	ERF
PH01000568G0750	PH01000568G0750	ERF
PH01000573G0640	PH01000573G0640	ERF
PH01000573G0670	PH01000573G0670	ERF
PH01000668G0350	PH01000668G0350	ERF
PH01000668G0390	PH01000668G0390	ERF
PH01000791G0820	PH01000791G0820	ERF
PH01000841G0400	PH01000841G0400	ERF
PH01000842G0220	PH01000842G0220	ERF
PH01000887G0500	PH01000887G0500	ERF
PH01000890G0360	PH01000890G0360	ERF
PH01000925G0400	PH01000925G0400	ERF
PH01001003G0160	PH01001003G0160	ERF
PH01001018G0090	PH01001018G0090	ERF
PH01001057G0620	PH01001057G0620	ERF
PH01001075G0390	PH01001075G0390	ERF
PH01001077G0020	PH01001077G0020	ERF
PH01001080G0230	PH01001080G0230	ERF
PH01001083G0060	PH01001083G0060	ERF
PH01001102G0050	PH01001102G0050	ERF
PH01001112G0620	PH01001112G0620	ERF
PH01001112G0650	PH01001112G0650	ERF
PH01001123G0500	PH01001123G0500	ERF
PH01001163G0450	PH01001163G0450	ERF
PH01001174G0200	PH01001174G0200	ERF
PH01001201G0350	PH01001201G0350	ERF
PH01001205G0030	PH01001205G0030	ERF
PH01001229G0220	PH01001229G0220	ERF
PH01001360G0530	PH01001360G0530	ERF
PH01001381G0480	PH01001381G0480	ERF
PH01001392G0010	PH01001392G0010	ERF
PH01001480G0400	PH01001480G0400	ERF
PH01001480G0410	PH01001480G0410	ERF
PH01001487G0410	PH01001487G0410	ERF
PH01001489G0540	PH01001489G0540	ERF
PH01001609G0410	PH01001609G0410	ERF
PH01001634G0140	PH01001634G0140	ERF
PH01001704G0270	PH01001704G0270	ERF
PH01001773G0070	PH01001773G0070	ERF
PH01001864G0070	PH01001864G0070	ERF
PH01001938G0330	PH01001938G0330	ERF
PH01002169G0130	PH01002169G0130	ERF
PH01002279G0250	PH01002279G0250	ERF
PH01002393G0230	PH01002393G0230	ERF
PH01002571G0300	PH01002571G0300	ERF
PH01002593G0060	PH01002593G0060	ERF
PH01002604G0290	PH01002604G0290	ERF
PH01002648G0300	PH01002648G0300	ERF
PH01002733G0270	PH01002733G0270	ERF
PH01003023G0010	PH01003023G0010	ERF
PH01003083G0160	PH01003083G0160	ERF
PH01003107G0070	PH01003107G0070	ERF
PH01003475G0200	PH01003475G0200	ERF
PH01003506G0180	PH01003506G0180	ERF
PH01003525G0030	PH01003525G0030	ERF
PH01003772G0170	PH01003772G0170	ERF
PH01003772G0180	PH01003772G0180	ERF
PH01003811G0100	PH01003811G0100	ERF
PH01003923G0110	PH01003923G0110	ERF
PH01003928G0080	PH01003928G0080	ERF
PH01004434G0040	PH01004434G0040	ERF
PH01004435G0130	PH01004435G0130	ERF
PH01004791G0030	PH01004791G0030	ERF
PH01007432G0010	PH01007432G0010	ERF
PH01026494G0010	PH01026494G0010	ERF
PH01088680G0010	PH01088680G0010	ERF
PH01094017G0010	PH01094017G0010	ERF
PH01000149G0140	PH01000149G0140	DBB
PH01000192G1360	PH01000192G1360	DBB
PH01000276G0310	PH01000276G0310	DBB
PH01000616G0330	PH01000616G0330	DBB
PH01001451G0380	PH01001451G0380	DBB
PH01001725G0310	PH01001725G0310	DBB
PH01001794G0130	PH01001794G0130	DBB
PH01001870G0430	PH01001870G0430	DBB
PH01002105G0310	PH01002105G0310	DBB
PH01000048G0270	PH01000048G0270	CO-like
PH01000142G0230	PH01000142G0230	CO-like
PH01000459G0310	PH01000459G0310	CO-like
PH01000481G0620	PH01000481G0620	CO-like
PH01000780G0510	PH01000780G0510	CO-like
PH01001011G0420	PH01001011G0420	CO-like
PH01001120G0010	PH01001120G0010	CO-like
PH01001246G0150	PH01001246G0150	CO-like
PH01001462G0020	PH01001462G0020	CO-like
PH01001639G0300	PH01001639G0300	CO-like
PH01002146G0170	PH01002146G0170	CO-like
PH01002727G0080	PH01002727G0080	CO-like
PH01005551G0030	PH01005551G0030	CO-like
PH01000007G2860	PH01000007G2860	ARR-B
PH01000026G0660	PH01000026G0660	ARR-B
PH01000031G1000	PH01000031G1000	ARR-B
PH01000043G1440	PH01000043G1440	ARR-B
PH01000061G1490	PH01000061G1490	ARR-B
PH01000101G1810	PH01000101G1810	ARR-B
PH01000229G0800	PH01000229G0800	ARR-B
PH01000286G1200	PH01000286G1200	ARR-B
PH01000735G0360	PH01000735G0360	ARR-B
PH01000933G0470	PH01000933G0470	ARR-B
PH01001777G0350	PH01001777G0350	ARR-B
PH01002585G0310	PH01002585G0310	ARR-B
PH01000000G4410	PH01000000G4410	G2-like
PH01000008G1310	PH01000008G1310	G2-like
PH01000025G0550	PH01000025G0550	G2-like
PH01000083G1220	PH01000083G1220	G2-like
PH01000095G1450	PH01000095G1450	G2-like
PH01000123G0060	PH01000123G0060	G2-like
PH01000123G1240	PH01000123G1240	G2-like
PH01000132G1020	PH01000132G1020	G2-like
PH01000152G0240	PH01000152G0240	G2-like
PH01000164G0530	PH01000164G0530	G2-like
PH01000176G0870	PH01000176G0870	G2-like
PH01000185G0030	PH01000185G0030	G2-like
PH01000200G0300	PH01000200G0300	G2-like
PH01000211G0910	PH01000211G0910	G2-like
PH01000223G0520	PH01000223G0520	G2-like
PH01000225G0780	PH01000225G0780	G2-like
PH01000261G1090	PH01000261G1090	G2-like
PH01000285G0200	PH01000285G0200	G2-like
PH01000370G1230	PH01000370G1230	G2-like
PH01000433G0890	PH01000433G0890	G2-like
PH01000456G0940	PH01000456G0940	G2-like
PH01000468G0380	PH01000468G0380	G2-like
PH01000542G0010	PH01000542G0010	G2-like
PH01000542G0130	PH01000542G0130	G2-like
PH01000548G0730	PH01000548G0730	G2-like
PH01000600G0490	PH01000600G0490	G2-like
PH01000622G0670	PH01000622G0670	G2-like
PH01000667G0350	PH01000667G0350	G2-like
PH01000738G0520	PH01000738G0520	G2-like
PH01000810G0130	PH01000810G0130	G2-like
PH01000843G0480	PH01000843G0480	G2-like
PH01000930G0300	PH01000930G0300	G2-like
PH01000942G0680	PH01000942G0680	G2-like
PH01000953G0730	PH01000953G0730	G2-like
PH01001006G0170	PH01001006G0170	G2-like
PH01001065G0270	PH01001065G0270	G2-like
PH01001079G0490	PH01001079G0490	G2-like
PH01001128G0130	PH01001128G0130	G2-like
PH01001153G0050	PH01001153G0050	G2-like
PH01001221G0230	PH01001221G0230	G2-like
PH01001295G0130	PH01001295G0130	G2-like
PH01001329G0010	PH01001329G0010	G2-like
PH01001344G0260	PH01001344G0260	G2-like
PH01001449G0350	PH01001449G0350	G2-like
PH01001459G0190	PH01001459G0190	G2-like
PH01001535G0300	PH01001535G0300	G2-like
PH01001536G0490	PH01001536G0490	G2-like
PH01001558G0360	PH01001558G0360	G2-like
PH01001696G0040	PH01001696G0040	G2-like
PH01001779G0420	PH01001779G0420	G2-like
PH01001881G0390	PH01001881G0390	G2-like
PH01001931G0070	PH01001931G0070	G2-like
PH01002069G0200	PH01002069G0200	G2-like
PH01002098G0070	PH01002098G0070	G2-like
