"","PRISM|7122","PRISM|7147","PRISM|7150","PRISM|7153","PRISM|7184","PRISM|7238","PRISM|7406","PRISM|7408","PRISM|7421","PRISM|7445","PRISM|7486","PRISM|7496","PRISM|7506","PRISM|7547","PRISM|7658","PRISM|7662","PRISM|7744","PRISM|7759","PRISM|7762","PRISM|7776","PRISM|7791","PRISM|7843","PRISM|7847","PRISM|7852","PRISM|7855","PRISM|7858","PRISM|7860","PRISM|7861","PRISM|7862","PRISM|7870","PRISM|7874","PRISM|7875","PRISM|7879","PRISM|7897","PRISM|7899","PRISM|7904","PRISM|7906","PRISM|7908","PRISM|7909","PRISM|7910","PRISM|7911","PRISM|7912","PRISM|7938","PRISM|7941","PRISM|7947","PRISM|7948","PRISM|7955","PRISM|7971","PRISM|7989","PRISM|8095","PRISM|8096","PRISM|8101","PRISM|8106","PRISM|8129","PRISM|8226","PRISM|8244","PRISM|8264","PRISM|8275","PRISM|8283","PRISM|8332","PRISM|8336","PRISM|8361","PRISM|8374","PRISM|8377","PRISM|8406","PRISM|8441","PRISM|8444","PRISM|8447","PRISM|8452","PRISM|8458","PRISM|8462","PRISM|8464","PRISM|8466","PRISM|8467","PRISM|8475","PRISM|8480","PRISM|8483","PRISM|8485","PRISM|8496","PRISM|8502","PRISM|8503","PRISM|8511","PRISM|8513","PRISM|8515","PRISM|8523","PRISM|8534","PRISM|8537","PRISM|8550","PRISM|8564","PRISM|8565","PRISM|8573","PRISM|8577","PRISM|8589","PRISM|8591","PRISM|8592","PRISM|8605","PRISM|8624","PRISM|8628","PRISM|8629","PRISM|8667","PRISM|8675","PRISM|8683","PRISM|8692","PRISM|8696","PRISM|8728","PRISM|8734","PRISM|8735","PRISM|8746","PRISM|8749","PRISM|8753","PRISM|8754","PRISM|8758","PRISM|8764","PRISM|8765","PRISM|8774","PRISM|8776","PRISM|8778","PRISM|8783","PRISM|8784","PRISM|8785","PRISM|8788","PRISM|8789","PRISM|8794","PRISM|8795","PRISM|8800","PRISM|8802","PRISM|8803","PRISM|8805","PRISM|8806","PRISM|8807","PRISM|8809","PRISM|8815","PRISM|8841","PRISM|8843","PRISM|8844","PRISM|8846","PRISM|8847","PRISM|8849","PRISM|8878","PRISM|8882","PRISM|8892","PRISM|8894","PRISM|8898","PRISM|8924","PRISM|8932","PRISM|8982","PRISM|8998","PRISM|9010","PRISM|9018","PRISM|9030","PRISM|9033","PRISM|9074","PRISM|9079","PRISM|9126","PRISM|9148","Validation|LLDeep_0001","Validation|LLDeep_0003","Validation|LLDeep_0010","Validation|LLDeep_0011","Validation|LLDeep_0012","Validation|LLDeep_0015","Validation|LLDeep_0018","Validation|LLDeep_0021","Validation|LLDeep_0022","Validation|LLDeep_0024","Validation|LLDeep_0026","Validation|LLDeep_0027","Validation|LLDeep_0028","Validation|LLDeep_0029","Validation|LLDeep_0030","Validation|LLDeep_0033","Validation|LLDeep_0034","Validation|LLDeep_0037","Validation|LLDeep_0039","Validation|LLDeep_0043","Validation|LLDeep_0047","Validation|LLDeep_0052","Validation|UMCG0333264","Validation|UMCG1180653","Validation|UMCG1576297","Validation|UMCG1705352","Validation|UMCG1708847","Validation|UMCG2023308","Validation|UMCG2136686","Validation|UMCG2739287","Validation|UMCG2788516","Validation|UMCG3243705","Validation|UMCG3299495","Validation|UMCG3321127","Validation|UMCG3595094","Validation|UMCG3748218","Validation|UMCG4000898","Validation|UMCG4081271","Validation|UMCG4268471","Validation|UMCG4722506","Validation|UMCG4789724","Validation|UMCG4851027","Validation|UMCG5113553","Validation|UMCG5308346","Validation|UMCG5437940","Validation|UMCG5613882","Validation|UMCG5792346","Validation|UMCG5921444","Validation|UMCG6047689","Validation|UMCG6054655","Validation|UMCG6262744","Validation|UMCG6628208","Validation|UMCG6720116","Validation|UMCG6738619","Validation|UMCG6868484","Validation|UMCG6966873","Validation|UMCG7115152","Validation|UMCG7198526","Validation|UMCG7563651","Validation|UMCG8089650","Validation|UMCG8255148","Validation|UMCG8438880","Validation|UMCG9119812","Validation|UMCG9189151","Validation|UMCG9830707"
"K01440",0.66,0.794,10.295,1.234,1.538,0.596,19.709,25.864,14.368,14.199,6.437,90.226,0.105,1.124,12.5,4.639,0.494,36.576,0.761,65.385,0.342,2.927,1.98,1.572,2.033,0.143,4.907,1.563,3.789,4.201,5.651,0,4.877,29.535,0.193,0.361,6.762,0.072,13.306,12.391,6.434,9.996,7.622,3.26,0.331,8.305,7.639,95.884,18.77,35.534,0.603,0.375,4.127,1.02,16.964,0.149,31.969,0.761,3.884,1.4,3.559,2.482,0.235,3.338,3.785,0.707,1.837,0.581,17.424,1.484,16.744,11.271,3.455,5.16,46.266,0,19.295,2.017,2.372,1.034,1.68,1.042,0.073,20.586,2.697,137.291,5.09,2.836,9.143,8.841,47.875,33.807,2.875,8.925,29.321,2.113,0.624,4.54,20.246,14.815,58.794,10.443,0,6.475,5.537,4.825,40.678,0.404,4.55,1.8,5.258,43.34,1.579,1.126,0.192,1.441,0.439,3.694,0.344,6.962,0.807,0.27,2.09,0.256,0.69,0,2.801,5.537,48.249,1.002,56.154,34.145,5.699,21.327,9.876,5.265,0.766,128.843,0.538,5.017,131.258,0.958,1.093,7.091,59.221,17.748,1.537,2.856,0.77,1.554,0.264,13.699,0.247,0.355,0.508,0.799,0.864,1.086,5.594,11.045,18.654,8.4,4.414,0.817,19.691,12.506,0.098,14.668,0.475,8.245,1.736,2.73,0.958,10.215,36.846,9.71,9.704,7.916,2.98,0.611,11.115,0,0,1.933,10.483,3.468,12.516,3.334,28.012,6.259,20.054,18.404,7.456,97.195,58.772,12.593,2.283,3.162,1.518,30.497,5.867,1.407,0.281,1.306,9.269,35.387,11.365,60.634,18.32,19.346,8.473,1.426,0.716,28.117,16.612,21.038,0,0.291,7.171,2.451
"K01441",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K01442",6.688,46.646,27.401,71.896,90.85,10.328,111.262,48.189,41.29,33.552,60.614,67.097,38.281,40.655,60.998,55.953,66.143,85.983,75.622,98.683,84.164,4.371,51.471,26.846,68.428,57.118,63.885,89.692,61.901,96.614,94.371,9.889,54.311,50.611,47.797,47.793,72.374,60.316,75.049,61.956,142.097,51.952,52.732,65.652,19.269,52.08,102.15,103.512,23.97,2.161,45.227,34.857,44.777,33.68,8.481,28.135,3.224,70.874,39.773,65.863,0.076,75.162,32.506,41.095,34.624,70.136,94.171,54.773,6.227,73.474,85.532,104.589,40.558,31.927,16.781,0.276,39.219,12.482,123.472,4.042,76.314,112.175,104.379,4.717,8.157,14.432,22.657,2.52,53.555,7.412,71.24,58.052,144.333,108.894,95.114,23.158,68.602,91.491,0.475,12.731,121.25,105.071,33.605,63.057,45.618,57.232,41.159,0.049,7.564,37.112,65.086,2.144,56.347,35.884,23.271,39.414,28.586,34.968,42.952,29.679,37.769,18.475,40.019,14.464,37.374,23.54,61.096,127.555,2.755,60.908,35.249,61.254,51.713,36.377,0.081,46.164,28.281,43.955,33.035,20.15,95.107,33.922,24.269,31.799,87.336,12.341,44.419,39.301,81.644,16.685,15.916,90.366,22.513,76.71,31.104,66.655,48.39,41.719,39.675,85.853,75.574,72.414,47.652,83.608,104.137,140.424,83.756,92.8,41.418,69.978,58.431,126.258,53.216,116.916,63.447,71.329,78.916,85.315,54.159,65.641,104.881,53.203,101.99,62.594,55.379,73.068,58.258,34.707,18.456,41.701,66.028,47.586,100.54,1.765,55.055,25.308,38.01,77.385,51.91,79.598,135.514,91.877,93.235,96.884,87.335,163.394,82.704,46.026,103.908,65.598,61.208,34.264,70.437,101.789,12.159,42.322,42.13,30.035,69.894,49.191
"K01443",117.028,141.036,135.078,292.054,149.621,195.33,118.833,215.738,162.627,225.31,261.189,304.808,156.033,97.272,196.653,165.982,195.284,237.032,202.07,294.748,328.226,252.558,158.189,149.963,161.421,186.501,263.17,234.821,158.714,199.974,122.363,32.255,129.731,232.232,200.66,190.426,156.324,208.48,159.974,179.381,144.264,128.968,196.079,129.979,227.439,224.492,173.169,141.654,77.98,122.122,154.881,80.264,105.805,236.405,116.727,170.514,115.568,165.095,148.202,144.04,40.955,250.809,165.456,135.048,167.354,231.525,178.069,198.53,16.345,190.348,244.871,110.744,200.087,147.694,181.364,8.134,212.88,334.898,254.524,21.083,119.666,176.572,162.941,194.621,96.534,342.749,223.366,274.275,247.398,70.214,249.866,144.518,194.399,235.31,237.076,52.656,184.145,100.347,32.229,128.72,205.777,243.473,138.05,219.174,140.758,164.114,160.793,1.68,153.596,174.187,150.329,394.022,162.515,129.918,138.758,107.519,130.07,183.993,162.061,180.183,146.381,112.743,158.84,197.815,192.135,78.956,188.874,219.746,168.833,130.682,115.96,104.894,260.654,192.834,153.224,264.796,130.639,188.239,186.072,90.745,271.452,134.094,144.043,119.622,297.8,120.459,154.168,148.289,171.216,142.632,161.231,216.379,67.746,200.54,192.796,79.205,79.471,114.497,169.726,179.38,144.648,120.738,134.557,98.993,157.134,196.095,158.927,117.758,166.205,154.09,120.366,191.203,139.31,187.217,294.496,152.706,156.589,309.572,188.191,101.426,181.009,86.816,198.328,181.164,145.723,237.237,119.738,164.151,166.56,181.449,172.616,195.055,179.901,188.023,233.599,138.936,122.601,137.187,235.939,162.823,178.686,173.236,202.967,170.22,187.71,280.501,184.395,217.246,176.886,208.577,141.128,178.761,160.858,156.883,242.66,126.897,178.491,97.154,149.982,155.346
"K01444",0,0.132,0,0,0,40.381,0.212,0,0,0,0.476,0.277,0.177,0.254,0,0,0.355,0.035,0,0,0.949,0,0,0,0,0.167,0,0,0.169,5.983,0.093,0,0,0.462,0,0,0.378,0.226,0,0.091,0,0,0,0,0,0,0,16.822,0,0,0,0,1.169,0,0,0,0,0,0.104,0.07,19.504,0.253,0.092,0,0.272,0,0.044,2.607,0,0.182,0,0,0,0,4.344,0,0,0,0,0,0,0,0.12,0.16,0,2.832,0,0,2.732,0,0.849,0,0.123,14.638,0,0,0.274,2.312,1.016,0.233,0.64,0,0.702,0,0.143,0.066,0,0.416,0,0.36,0.1,83.725,0.058,0,0,0,0.045,0.089,0,0,0,0,0.048,0,0.115,0,0.096,0.331,1.348,0.3,1.54,0.246,0,0,0,0.662,0.325,0.024,0.081,0,2.109,1.822,0.098,0,0,0,0,0,0,0,0,14.535,0,0,0,0,0,0,3.08,0,0,0,0,0,0,0.128,0,0.323,0,0.332,0,0.101,0,0.167,0,0.856,0.204,0.156,0,0,2.763,0,0,0,0,0,0,0.183,0,0.127,10.362,0,0.696,0,0,1.232,0,0,8.382,0,1.747,0,0,0,3.977,0,0,0,0.108,0.253,0.557,0,0.262,0,1.412,0,0,0,0,0
"K01447",24.233,101.689,79.832,82.835,77.753,74.469,203.285,148.24,68.787,236.551,107.871,75.335,108.206,39.402,80.201,86.628,124.73,148.903,81.436,52.006,76.16,103.182,83.243,100.665,60.122,93.111,66.485,53.019,69.05,46.855,66.491,13.84,64.57,77.742,44.978,69.446,111.388,72.95,62.037,124.374,121.075,71.2,164.661,134.463,84.868,84.566,97.061,122.546,243.024,34.616,50.941,55.727,24.774,45.698,105.667,30.177,246.755,30.722,48.532,71.976,117.409,38.503,60.158,80.892,33.067,90.385,78.766,53.084,6.813,31.156,81.468,48.504,111.449,57.185,281.295,7.914,103.658,121.644,46.241,32.535,72.834,72.756,99.444,11.173,41.108,92.676,92.977,33.398,63.398,12.164,98.97,101.345,57.631,104.638,96.622,16.507,30.443,73.861,272.398,119.32,18.419,201.073,46.432,70.254,65.854,92.79,93.563,119.926,64.429,30.624,99.458,100.267,55.884,38.052,58.931,46.199,36.679,84.922,44.594,48.785,46.511,33.251,61.087,62.442,40.904,31.189,84.034,140.057,291.222,97.457,283.752,194.712,79.673,45,138.654,43.394,35.924,101.375,45.927,59.08,56.938,49.711,23.54,41.073,102.012,83.923,64.493,79.961,194.496,14.594,30.295,70.552,19.439,70.881,61.387,64.603,99.924,57.604,47.381,66.093,36.563,39.16,34.422,62.173,91.944,58.646,54.855,83.054,37.596,49.926,53.154,88.728,31.441,67.219,36.939,53.529,52.439,47.715,61.957,84.636,47.455,67.781,101.9,81.749,49.109,53.693,38.534,54.948,52.117,36.632,93.609,72.587,122.352,92.062,42.933,111.115,15.079,52.51,20.833,119.639,74.564,92.412,70.821,74.887,59.65,43.131,88.687,58.056,57.104,78.297,65.798,23.977,48.588,52.042,123.538,35.541,88.45,38.222,65.996,38.276
"K01451",0,4.938,3.001,3.898,0.923,3.999,0,1.14,7.587,48.086,10.611,12.066,0.765,7.984,18.903,5.94,2.665,4.59,10.538,8.98,2.377,0.605,8.712,1.891,8.523,10.501,12.654,8.155,5.733,11.144,5.796,0.429,7.477,6.816,5.114,7.841,18.183,9.506,9.323,4.482,13.299,4.06,15.563,46.029,0,17.78,3.496,0,0,0,13.543,3.889,1.403,8.746,1.899,4.342,0.27,12.027,2.406,9.256,0,0.126,0.779,13.07,0.268,9.186,15.15,4.426,0,3.868,17.286,0,3.947,7.014,3.423,1.017,0.841,0.317,15.469,0.34,9.441,0.331,10.087,2.168,1.241,0.304,0,0,22.126,0,16.565,7.141,23.83,0,14.934,2.948,0.52,5.346,0,0.054,3.611,8.702,1.607,9.379,3.128,0.794,7.193,0,0,5.804,4.577,0,16.744,7.633,4.469,7.112,6.228,3.205,13.449,2.529,4.876,3.107,7.329,9.511,4.222,0.375,8.191,15.432,0,0,0.048,0,12.795,2.569,0,11.087,0.875,0,1.857,10.244,18.308,7.605,1.225,3.835,5.416,0.652,1.151,3.998,9.995,0.858,2.84,17.42,2.402,6.182,7.78,4.803,2.865,5.457,8.605,6.177,8.589,4.098,5.026,5.052,7.459,11.589,7.089,0.645,2.616,7.419,10.179,3.831,6.502,25.446,0.659,8.675,7.887,4.34,14.139,14.015,2.26,4.276,17.745,11.39,11.011,0,5.093,5.084,15.02,12.198,10.634,3.109,31.038,0,5.481,12.451,5.026,6.65,2.125,2.038,9.636,14.302,3.093,7.654,10.476,17.978,5.399,0.904,3.282,2.385,2.83,12.385,17,12.29,3.822,3.078,15.705,5.976,16.768,10.664
"K01452",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K01455",0,0,0,0,0,0,0,0,0.111,0,0.702,0.374,0,0.013,0,0,0,0.23,0,4.236,0,0.807,0,35.325,0,0,3.21,1.118,0.505,3.574,0,0,1.174,0,0,0,1.081,0,0.68,0,0.493,0,3.586,0.321,0.041,0,0,0,0.901,14.094,0,0,2.643,3.364,2.283,0,0,0.451,0,0.088,0,0,0,0,0.058,0.568,0,0,0,0,3.504,0,0,0,0,0,0.381,0,8.009,0.335,0.048,0.47,0,0,0,0.578,0,0,0,0,1.68,0.326,0,7.19,0,0,4.21,0.162,0,0.081,0,10.108,0,0,0.734,2.456,0,105.349,0.06,0.01,0.126,0,0,0,0,0.371,0,0.996,0,0,0,0.129,0.037,0,0.096,0,0,0.862,0.016,0,0,0,0.368,0.071,7.761,1.437,0.977,0,0,0,0.125,0.773,0,0,7.373,0.072,1.052,0.575,0,0,0,20.096,0,0,1.216,0,0,0.76,0,0,0,0.508,0.52,0,0.615,0,0,0.619,0,0,0,0,0,0,2.327,0,0,1.078,0,0,1.569,0,0,0,0.343,0,0,0,0.114,0,8.856,0.101,0.205,1.099,0,0.489,0,3.448,2.146,5.073,0.369,0,0,0,3.374,3.628,0,1.37,0,0,0.857,6.037,0,0,6.803,3.894,0,0,0,0
"K01456",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K01457",0,0,0,0,0,0,0.065,0,0.092,0,0,0,0,0,0,0,0,0.41,0,0,0,0.741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091,3.522,0,0,0.134,0,0.041,0,0,2.359,0,2.076,0,0,0,0,0,0,0,0,0,0.012,0,0,0,0,0,0.246,0,0,0,0,0,0,0,0,0.207,0,0,0,0,0,0.564,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0.117,0.352,7.279,0,0,0,0,0,0.101,0,0.679,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.026,0,0,0,0,0,6.02,0.005,0,0,0.364,1.667,0,0,0,0,0.039,0,0.05,0,7.175,0.762,0.759,0,0,1.434,0,13.618,0,0,0,0,0,0.473,0,0,0,0,0,0,0.203,0,0,0,0,0,0,0,0,0,0.059,0,0,0,0,0,0,0,0,0,0,0,0,0,0.247,0.195,8.18,0.406,0.064,0.607,0,0,0,0,0,0,0,0,0,0,0.568,0,0,0,0,0,0,0,0,0,3.656,0.184,0,0,0,0
"K01458",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273,0,0,0,0,0,0,0,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0.087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184,0,0,0,0,0,0,0,0,0,0,0
"K01460",0,0,0,0,0,0,0,0,0.266,0,0,0,0,0,0,0,0,0.276,0,0.142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.665,0.137,0,0,0.106,0.839,5.366,0,0,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.904,0,0,0,0,0.169,0,0,0,0,0.076,0,0,0,0.318,0,3.985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202,0.354,1.282,0,0,26.526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.506,6.603,1.378,0,0,0.274,0,0.914,0.634,0,0,0,0,0,0,1.352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833,0,0,0,0,0,0,0,0.962,0,0,0,0,0,0.574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.274,0,0,0,0,0
"K01461",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.477,0.682,0,0,0,0,0,0,0,0,0.558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K01462",190.919,329.789,252.997,294.588,324.431,256.174,336.326,233.408,374.767,281.169,456.785,747.977,258.104,268.042,439.819,343.199,427.324,422.705,365.524,706.489,412.173,634.125,253.497,262.87,362.474,348.783,463.625,444.609,334.685,401.63,388.197,46.019,328.005,714.284,306.86,323.041,384.133,436.002,386.156,404.353,467.232,327.415,370.292,368.482,315.828,345.052,455.003,193.461,161.748,323.465,291.499,259.143,192.059,435.695,215.954,222.449,96.852,325.283,329.967,361.526,370.041,470.601,291.889,377.433,353.68,522.953,389.231,421.55,51.068,338,478.838,378.647,290.662,282.291,200.863,10.775,274.089,228.357,348.671,11.193,341.372,370.426,279.862,415.468,123.215,1633.94,388.56,283.041,375.884,162.363,421.314,399.79,413.155,368.193,511.988,104.946,303.057,356.504,74.086,207.326,439.92,322.506,268.167,300.826,287.244,320.786,528.093,136.385,184.393,277.767,335.625,479.194,278.092,266.035,321.943,323.416,303.902,222.88,317.118,255.731,286.432,336.699,344.804,279.405,398.202,154.637,277.822,292.113,205.21,319.392,192.792,310.234,346.456,255.186,131.748,377.191,246.673,365.992,236.943,185.989,694.472,273.379,263.704,287.209,502.798,260.578,195.858,313.969,299.577,262.573,422.525,282.912,252.599,281.773,287.084,277.381,242.947,260.982,342.875,439.021,342.633,343.366,230.292,302.849,385.042,404.287,428.784,333.094,312.419,377.425,283.436,484.619,319.174,363.913,666.286,352.057,363.245,549.428,428.374,173.583,397.474,219.962,353.482,377.548,327.005,399.49,330.317,249.152,338.376,429.991,402.376,339.185,431.161,699.336,548.672,306.688,343.481,303.753,255.339,305.556,409.034,438.114,486.711,445.59,433.275,542.806,323.004,604.382,429.211,423.809,347.564,299.06,246.962,434.381,463.645,313.897,348.57,179.608,304.521,339.022
"K01464",3.744,3.943,6.125,11.745,3.105,6.814,4.241,0.962,8.395,51.402,9.162,12.236,1.964,3.776,15.102,6.427,22.611,4.365,12.553,9.805,28.791,12.434,5.405,6.354,8.891,12.327,23.742,10.03,9.641,13.019,7.465,1.389,4.134,4.936,5.211,10.723,21.512,11.948,14.051,5.814,12.524,2.168,17.018,43.679,6.491,5.978,3.4,56.243,0,3.32,15.743,30.051,5.826,9.74,11.21,8.566,1.272,13.348,5.558,18.564,0,4.849,4.998,4.179,3.296,14.44,10.111,12.978,0,5.806,19.913,3.679,1.815,7.428,7.428,0.402,2.434,1.811,17.924,0,14.292,0.6,14.825,2.247,4.339,2.783,3.944,9.223,32.465,0.283,16.385,1.731,21.252,0.493,20.785,4.393,2.205,14.352,0,0.543,5.854,13.073,1.503,10.553,32.754,2.385,9.595,10.761,0.412,5.765,6.97,0,18.802,4.014,6.926,7.087,8.563,5.488,17.749,1.407,5.097,2.585,7.295,7.381,5.004,18.259,10.65,11.39,0.512,3.364,0.737,0.281,15.426,2.072,0,11.333,4.554,0.39,4.937,14.407,20.714,6.938,0.492,2.874,5.167,0.228,1.675,12.109,8.885,1.846,0.449,8.954,2.251,5.185,2.164,33.435,1.66,3.656,10.134,12.708,12.86,14.489,11.222,7.577,8.712,12.272,10.002,4.171,4.658,19.382,13.456,10.141,8.351,27.896,5.109,10.668,12.288,16.838,18.431,17.911,9.409,14.235,20.609,24.581,12.664,4.17,16.248,8.237,12.302,12.906,3.015,8.373,49.112,28.575,5.811,19.161,6.008,4.953,0.954,2.827,14.843,52.104,10.824,9.99,15.18,1.631,9.373,1.884,3.736,9.298,2.116,2.455,19.225,25.142,24.924,9.775,16.95,7.146,20.164,11.596
"K01465",81.949,193.288,171.235,204.877,232.07,134.091,264.973,154.197,188.095,222.979,217.214,214.041,168.062,151.021,253.473,205.676,212.301,226.515,207.973,216.396,221.236,242.237,167.058,182.797,212.134,238.835,263.949,243.08,170.987,202.872,208.674,54.94,185.738,218.776,182.854,196.322,233.028,252.032,190.611,210.322,234.444,183.671,263.628,286.686,289.902,235.486,243.707,212.67,95.426,94.366,160.466,206.859,130.137,226.111,114.547,173.053,62.94,164.815,225.68,213.039,244.828,251.069,230.93,190.263,169.576,369.364,258.819,220.36,22.032,200.909,253.993,206.089,193.009,189.748,140.552,12.367,216.157,194.47,214.469,5.164,191.981,224.446,188.132,162.342,81.479,150.82,294.363,209.123,217.518,64.317,257.946,220.088,229.11,220.5,225.443,57.373,185.372,166.14,28.286,127.458,127.709,295.772,173.137,185.518,205.888,156.06,145.108,60.278,83.652,132.422,211.113,279.934,186.387,176.334,193.901,277.209,220.134,139.277,206.959,159.216,251.101,200.263,190.768,200.375,189.837,115.323,165.064,216.321,184.18,245.971,129.533,173.696,271.151,164.914,134.738,232.886,142.568,202.591,185.118,98.761,178.045,196.967,242.429,143.409,222.995,154.115,155.395,201.149,185.597,186.415,128.877,182.761,222.688,187.944,197.699,192.093,124.197,145.766,183.038,195.906,153.909,190.716,136.261,146.112,187.171,201.959,184.411,182.882,192.177,183.315,154.867,204.638,155.603,206.469,188.404,175.891,188.992,289.302,232.689,109.385,155.342,152.761,220.469,212.438,184.174,288.678,191.678,151.091,178.764,145.044,143.023,201.871,214.992,135.684,196.299,153.923,230.935,174.352,163.117,223.079,211.98,238.457,211.373,210.534,179.718,253.411,206.478,203.087,189.8,171.628,156.879,194.012,164.158,168.496,239.444,102.953,202.682,101.12,186.855,175.327
